Read Bandwidth,Write Bandwidth
549,0
522,0
522,0
506,0
513,0
517,0
513,0
527,0
529,0
533,0
533,0
521,0
514,0
534,0
525,0
504,0
516,0
534,0
533,0
526,0
526,0
533,0
533,0
535,0
531,0
522,0
542,0
540,0
530,0
534,0
535,0
547,0
526,0
545,0
547,0
548,0
547,0
536,0
523,0
534,0
542,0
540,0
536,0
537,0
538,0
533,0
527,0
531,0
544,0
546,0
537,0
517,0
523,0
539,0
545,0
546,0
546,0
534,0
530,0
544,0
544,0
545,0
545,0
541,0
540,0
543,0
542,0
537,0
539,0
534,0
531,0
535,0
537,0
539,0
546,0
538,0
535,0
544,0
544,0
547,0
548,0
546,0
532,0
538,0
540,0
539,0
540,0
541,0
545,0
535,0
527,0
529,0
529,0
529,0
527,0
524,0
538,0
528,0
530,0
542,0
545,0
543,0
539,0
544,0
544,0
544,0
543,0
541,0
527,0
539,0
543,0
540,0
539,0
538,0
531,0
529,0
534,0
539,0
546,0
544,0
534,0
526,0
538,0
546,0
545,0
545,0
546,0
534,0
545,0
546,0
547,0
500,0
