Read Bandwidth,Write Bandwidth
8712406,1135772
968,0
1088,0
1083,0
1079,0
1088,0
1092,0
1082,0
1081,0
1091,0
1096,0
1094,0
1091,0
1097,0
1099,0
1093,0
1093,0
1088,0
1088,0
1093,0
1091,0
1091,0
1098,0
1089,0
1084,0
1085,0
1092,0
1090,0
1090,0
1093,0
1098,0
1097,0
1098,0
1101,0
1090,0
1096,0
1094,0
1085,0
1095,0
1095,0
1096,0
1094,0
1084,0
1090,0
1091,0
1087,0
1090,0
1089,0
1092,0
1093,0
1089,0
1090,0
1090,0
1087,0
1082,0
1079,0
1088,0
1087,0
1078,0
1078,0
1077,0
1079,0
1092,0
1086,0
1086,0
1086,0
1095,0
1096,0
1095,0
1094,0
1078,0
1077,0
1084,0
1088,0
1095,0
1095,0
1094,0
1095,0
1092,0
1093,0
1093,0
1094,0
1088,0
1082,0
1085,0
1092,0
1084,0
1091,0
1092,0
1093,0
1091,0
1092,0
1093,0
1091,0
1085,0
1086,0
1087,0
1086,0
1087,0
1084,0
1085,0
